codigo;cod_competencia;identificador;nombre
habi25;compe3;188;Utiliza el tacto como fuente de exploración de las distintas partes del cuerpo y de distintos objetos, de una forma intencional y cada vez con mayor frecuencia  
habi26;compe3;190;Reconoce, entre dos objetos, uno de ellos a través del tacto
habi27;compe4;210;Mejora su capacidad y habilidad respiratoria 
habi28;compe4;212;Toma conciencia de la inspiración y la espiración 
habi29;compe4;214;Ante distintas sensaciones olfativas expresa respuestas de agrado o desagrado
habi30;compe4;216;Diferencia a través del olor distintas sustancias y expresa sus gustos 
habi31;compe4;218;Aprende a oler
habi32;compe4;220;Adquiere el hábito de respirar por la nariz
habi33;compe4;222;Desarrolla hábitos de higiene nasal 
habi34;compe4;224;Aprende a sonarse 
habi35;compe4;226;Aprende a expectorar
habi36;compe5;240;Prueba diferentes sabores y texturas y muestra sus preferencias
habi37;compe5;242;Fortalece la movilidad de los músculos de la boca, labios y lengua
habi38;compe5;250;Mejora el control de la succión y la deglución y favorece la masticación por medio de terapia orofacial y miofuncional
habi39;compe5;252;Desarrolla un programa de control del babeo
habi40;compe5;272;Mejora el conocimiento y control de su cuerpo 
habi41;compe5;274;Favorece el desarrollo motriz a través de ejercicios de relajación y de la realización de posturas inhibidoras de reflejos 
habi42;compe5;276;Ejercita las conductas motóricas finas y desarrolla las habilidades manipulativas: tomar, arrastrar, soltar
habi43;compe5;278;Desarrolla la estimulación de la prensión
habi44;compe5;280;Desarrolla las habilidades de exploración del entorno y de orientación (izquierda, derecha, cercano, lejano, dentro, fuera, ...) 
habi45;compe5;282;Desarrolla un estado de bienestar emocional y afectivo
habi46;compe6;302;Desarrolla la comunicación a través de diferentes tipos de estimulación  
habi47;compe6;304;Responde ante los distintos estímulos del entorno próximo
habi48;compe6;306;Propicia el juego vocálico. Mejora la imitación vocálica y gestual
habi49;compe6;308;Manifiesta su estado de ánimo mediante sus vocalizaciones 
habi50;compe6;310;Desarrolla la intención comunicativa
habi51;compe6;312;Desarrolla la intención de acción
habi52;compe6;314;Percibe contingencias
habi53;compe6;316;Utiliza un sistema alternativo y/o aumentativo de comunicación acorde con sus características personales
habi54;compe8;336;Enhebra bolas en un cordel 
habi55;compe8;338;Da vueltas al pomo de la puerta 
habi56;compe8;340;Abre y cierra la canilla (grifo)
habi57;compe8;342;Corta con tijeras 
habi58;compe8;344;Construye una torre de cubos 
habi59;compe8;346;Pasa las hojas de un libro de una en una
habi60;compe8;348;Abre y cierra pestillos
habi61;compe8;350;Dobla un papel por la mitad 
habi62;compe8;352;Arma y desarma un juguete de piezas a presión
habi63;compe8;354;Hace bolas de plastilina 
habi64;compe8;356;Camina sobre una línea en el suelo 
habi65;compe8;358;Salta escalones
habi66;compe8;360;Sube y baja escaleras sin alternar los pies 
habi67;compe8;362;Camina hacia atrás mirando 
habi68;compe8;364;Da algún paso de puntillas
habi69;compe8;366;Camina con una sola pierna 
habi70;compe8;368;Juega con una pelota 
habi71;compe8;370;Transporta una silla
habi72;compe8;372;Se mantiene en equilibrio sobre un pie 
habi73;compe8;374;Señala partes de su cuerpo 
habi74;compe8;376;Nombra objetos y los identifica en dibujos
habi75;compe8;378;Distingue ahora - hoy 
habi76;compe8;380;Separa objetos del mismo color 
habi77;compe8;382;Dice su edad levantando los dedos
habi78;compe8;386;Dibuja figuras humanas (DFH)
habi79;compe8;388;Dice para qué sirve
habi80;compe9;408;Desenrosca objetos
habi81;compe9;410;Opone el pulgar al resto de los dedos y los toca uno a uno 
habi82;compe9;412;Se abotona y desabotona el vestido
habi83;compe9;414;Levanta una bola con el índice y el pulgar 
habi84;compe9;416;Imita secuencias de movimientos  
habi85;compe9;418;Realiza juegos de construcción simples
habi86;compe9;420;Hace figuras sencillas de plastilina  
habi87;compe9;422;Camina hacia atrás sin girar la cabeza 
habi88;compe9;424;Camina de puntillas
habi89;compe9;426;Camina y salta con una sola pierna
habi90;compe9;428;Sube y baja escaleras alternando los pies 
habi91;compe9;430;Transporta uno o más objetos manteniendo el equilibrio
habi92;compe9;432;Nombra y reconoce colores 
habi93;compe9;434;Sabe su sexo 
habi94;compe9;436;Recuerda objetos familiares
habi95;compe9;438;Empareja objetos 
habi96;compe9;440;Utiliza las llaves 
habi97;compe9;441;Se viste y se desviste
habi98;compe10;460;Abre un candado con llave 
habi99;compe10;462;Enrosca objetos 
habi100;compe10;464;Recorta y pega formas sencillas. Recorta curvas
habi101;compe10;466;Hace nudos en un tapiz 
habi102;compe10;468;Toma correctamente instrumentos gráficos 
habi103;compe10;470;Imita movimientos de brazos, manos y dedos
habi104;compe10;472;Hace una pelota arrugando un papel 
habi105;compe10;473;Almacena temporalmente la información para completar una tarea y cerciorarse de que la alcanza 
habi106;compe10;474;Arma rompecabezas
habi107;compe10;475;Desarrolla su visión espacial 
habi108;compe10;476;Construye formas uniendo piezas
habi109;compe10;477;Calcula de forma aproximada el paso del tiempo y la duración de un suceso o actividad
habi110;compe10;478;Dibuja figuras simples
habi111;compe10;479;Realiza cambios en lo planeado, adaptándolo a las circunstancias del entorno 
habi112;compe10;480;Cambia la dirección al correr
habi113;compe10;482;Camina de punta y de talón
habi114;compe10;484;Transporta un recipiente con agua sin que se le derrame 
habi115;compe10;485;Colorea un dibujo
habi116;compe10;486;Copia un árbol, un niño y una casa
habi117;compe10;488;Conoce los días de la semana
habi118;compe10;490;Sabe su dirección
habi119;compe10;492;Compara objetos/dibujos reconociendo semejanzas y diferencias 
habi120;compe10;493;Se ata los cordones de los zapatos
habi121;compe10;494;Ignora los impulsos o la información irrelevante cuando está realizando una tarea (inhibición)
habi122;compe10;495;Elige entre varias alternativas, sopesando los resultados y sus consecuencias 
habi123;compe10;497;Resuelve problemas de diversa índole de manera consciente estableciendo relaciones causales entre ellos 
habi124;compe10;498;Se desplaza de manera autónoma
habi125;compe10;500;Realiza tareas de manera simultánea, intercalándolas y sabiendo en qué punto está cada una 
habi126;compe10;501;Describe la situación relativa de objetos en el espacio: arriba-abajo, izquierda-derecha, delante-detrás, cerca-lejos
habi127;compe11;502;Mejora la memoria auditiva 
habi128;compe11;504;Mejora la memoria visual 
habi129;compe11;506;Mejora la memoria quinestésica
habi130;compe11;508;Mejora la memoria lógica/comprensiva  
habi131;compe11;510;Mejora la memoria a corto plazo  
habi132;compe11;512;Mejora la memoria a largo plazo
habi133;compe12;532;Se seca las manos
habi134;compe12;534;Se lava las manos 
habi135;compe12;536;Se lava la cara
habi136;compe12;538;Se lava las piernas y los brazos al bañarse o ducharse
habi137;compe12;540;Sabe cuando las manos están sucias
habi138;compe12;542;Utiliza el pañuelo para sonarse y limpiarse
habi139;compe12;544;Mantiene limpios los oídos
habi140;compe12;546;Se seca todo el cuerpo 
habi141;compe12;548;Se baña o ducha solo
habi142;compe12;550;Sabe regular la temperatura del agua para el baño 
habi143;compe12;552;Se cepilla los dientes
habi144;compe12;554;Se baña o ducha por iniciativa propia
habi145;compe12;556;Utiliza los elementos necesarios para eliminar olores corporales 
habi146;compe12;558;Utiliza el cepillo de las uñas
habi147;compe12;560;Deja el baño recogido
habi148;compe12;562;Se peina
habi149;compe12;564;Se seca el pelo 
habi150;compe12;566;Se lava el pelo
habi151;compe12;568;Se corta y lima las uñas 
habi152;compe12;570;Cuida su aspecto y su apariencia exterior 
habi153;compe12;572;Se afeita
habi154;compe12;574;Se depila 
habi155;compe12;576;Utiliza los broches del cabello  
habi156;compe12;578;Utiliza el papel higiénico después de ir al baño
habi157;compe12;596;Se sienta correctamente
habi158;compe12;598;Se dirige al adulto cuando está enfermo 
habi159;compe12;600;Toma el medicamento correspondiente y lo reconoce entre varios
habi160;compe12;602;Muestra al cuidador la parte del cuerpo que le duele 
habi161;compe12;604;Dice por qué se toma un medicamento determinado 
habi162;compe12;606;Lleva las prótesis correctoras prescritas
habi163;compe12;608;Describe sus síntomas cuando se siente enfermo 
habi164;compe12;610;Responde a preguntas sobre su propia salud 
habi165;compe12;612;Se pone un supositorio
habi166;compe12;614;Toma los medicamentos recetados según la dosis prescrita 
habi167;compe12;616;Cuida las prótesis
habi168;compe12;618;Se cambia un parche o apósito
habi169;compe12;620;Sigue las indicaciones en caso de accidente o enfermedad 
habi170;compe12;622;Sabe utilizar el termómetro
habi171;compe12;624;Sigue las pautas adecuadas en caso de golpe en la cabeza
habi172;compe12;626;Sigue las pautas adecuadas en caso de hemorragia nasal
habi173;compe12;628;Toma el sol con las precauciones necesarias 
habi174;compe12;630;Sigue las pautas adecuadas en caso de picadura de abeja o de avispa
habi175;compe12;632;Evita fuentes de contagio
habi176;compe12;634;Sabe utilizar los servicios sanitarios 
habi177;compe12;636;Conoce los beneficios de elegir un estilo de vida saludable
habi178;compe12;638;Comprende qué es un alimento y conoce la función que cumplen en la dieta
habi179;compe12;640;Conoce y aplica hábitos de alimentación saludables 
habi180;compe12;642;Observa la dieta prescrita en caso de diarrea
habi181;compe12;643;Evita tomar alimentos fuera de horas
habi182;compe12;645;Conoce y aplica hábitos de vida saludables para la mente
habi183;compe12;648;Reconoce los factores que favorecen la salud y los factores que la perjudican y valora la importancia de elegir convenientemente
habi184;compe12;650;Adopta una actitud crítica ante las modas y la imagen corporal de los modelos publicitarios
habi185;compe14;670;Conoce las partes del cuerpo y sus funciones
habi186;compe14;672;Conoce las diferencias entre el hombre y la mujer 
habi187;compe14;674;Reconoce los cambios que se producen en la pubertad
habi188;compe14;676;Cuida la higiene de los órganos sexuales
habi189;compe14;678;Conoce y aplica hábitos sexualmente saludables 
habi190;compe14;682;Participa en conversaciones sobre la sexualidad
habi191;compe14;684;Se comporta con naturalidad ante manifestaciones afectuosas
habi192;compe14;686;Respeta el cuerpo de los compañeros
habi193;compe14;688;Conoce y aplica métodos de prevención de enfermedades de transmisión sexual (ETS)
habi194;comp15;706;Responde a su nombre
habi195;comp15;708;Saluda a otros niños y adultos conocidos cuando se lo recordamos 
habi196;comp15;710;Lleva un objeto si le damos instrucciones
habi197;comp15;712;Presta atención a lo largo de 3 o 4 minutos (cuentos, TV, etc.) 
habi198;comp15;714;Dice por favor y gracias cuando se le recuerda 
habi199;comp15;716;Trata de ayudar en tareas domésticas
habi200;comp15;718;Juega a disfrazarse
habi201;comp15;719;Juega con otros compañeros en paralelo pero sin colaborar 
habi202;comp15;723;Comparte sus juguetes
habi203;compe16;742;Deja objetos a otros compañeros
habi204;compe16;744;Sigue reglas de la clase
habi205;compe16;746;Pide por favor y da las gracias sin que se le recuerde
habi206;compe16;747;Presta atención estando en grupo, sentado en un lugar (más de 5 minutos) 
habi207;compe16;748;Contesta al teléfono y habla con personas conocidas 
habi208;compe16;752;Juega cerca de otros compañeros y habla con ellos
habi209;compe16;754;Sigue las reglas de un juego en grupo dirigido por alguien 
habi210;compe16;756;Se relaciona con sus compañeros y aguarda su turno 
habi211;compe16;758;Se separa fácilmente de sus padres
habi212;compe16;760;Solicita permiso para utilizar los objetos
habi213;compe16;762;Pide ayuda cuando tiene alguna dificultad
habi214;compe16;764;Realiza un trabajo sin distraerse (más de 10 minutos)
habi215;compe16;765;Contribuye en una conversación entre personas mayores 
habi216;compe16;766;Se comporta en público de una forma socialmente aceptable 
habi217;compe16;770;Se entretiene con juegos de construcción y manipulación de piezas
habi218;compe17;784;Solicita información
habi219;compe17;786;Mira a la cara cuando le han llamado la atención 
habi220;compe17;788;Responde a una sonrisa con una sonrisa
habi221;compe17;790;Da muestras de afecto espontáneas a quienes conviven con él 
habi222;compe17;792;Identifica por su nombre a los que conviven con él 
habi223;compe17;794;Responde a un compañero o señala para localizarlo
habi224;compe17;796;Se relaciona con otras personas por iniciativa propia 
habi225;compe17;798;Acude a un lugar cuando lo llaman  
habi226;compe17;800;Pide objetos ante una necesidad
habi227;compe17;802;Sigue las indicaciones de un encargo
habi228;compe17;804;Acepta las consecuencias de haberse equivocado 
habi229;compe17;806;Expone un deseo o una necesidad
habi230;compe17;808;Da información sobre sí mismo
habi231;compe17;810;Muestra interés por las personas con las que tiene vínculos 
habi232;compe17;812;Razona respuestas sobre comportamientos elegidos
habi233;compe17;814;Da cuenta de acciones realizadas
habi234;compe17;816;Se dirige a las personas con un tono de voz apropiado 
habi235;compe17;818;Llega puntualmente
habi236;compe17;820;Saluda y se despide 
habi237;compe17;822;Pide permiso 
habi238;compe17;824;Pide disculpas
habi239;compe17;826;Expone una queja 
habi240;compe17;828;Felicita cumpleaños 
habi241;compe17;830;Invita a compañeros
habi242;compe17;832;Rechaza ayuda 
habi243;compe17;834;Presenta a otra persona 
habi244;compe18;860;Evita una pelea
habi245;compe18;864;Se defiende de una agresión física o verbal
habi246;compe18;866;Trabaja/juega con los compañeros de forma cooperativa
habi247;compe18;868;Ofrece apoyo
habi248;compe18;870;Trabaja en actividades de grupo competitivas 
habi249;compe18;872;Se relaciona con compañeros en situaciones distintas
habi250;compe18;874;Sigue indicaciones colectivas 
habi251;compe18;876;Inicia actividades en grupo 
habi252;compe18;878;Acepta nuevos compañeros en el grupo
habi253;compe18;880;Reconoce las acciones positivas de los compañeros 
habi254;compe18;882;Acepta la colaboración de los compañeros 
habi255;compe18;884;Se comporta de acuerdo con el papel que le corresponde
habi256;compe18;886;Se comporta deportivamente
habi257;compe18;888;Expresa su opinión aunque sea diferente de la de los demás 
habi258;compe18;890;Acepta las ideas presentadas por otros 
habi259;compe19;910;Evita acciones y expresiones molestas 
habi260;compe19;912;Acepta y respeta a las personas  
habi261;compe19;914;Respeta a los animales
habi262;compe19;916;Respeta el medio ambiente (cuida las plantas, ahorra energía, recicla papel…)
habi263;compe19;918;Respeta las cosas (ropa, materiales, mobiliario, etc.) 
habi264;compe20;934;Toma conciencia de las propias emociones y aprende a controlarlas  
habi265;compe20;936;Se muestra abierto a expresar sentimientos, emociones y vivencias  
habi266;compe20;938;Acepta críticas
habi267;compe20;940;Identifica gestos
habi268;compe20;942;Identifica expresiones emocionales básicas faciales (feliz, triste, enojado, temeroso) 
habi269;compe20;944;Identifica expresiones emocionales básicas en fotografías
habi270;compe20;946;Identifica expresiones emocionales básicas en dibujos 
habi271;compe20;948;Identifica expresiones emocionales faciales complejas (sorpresa, cansancio, asco, aburrimiento, desilusión, cariño, etc.) 
habi272;compe20;950;Identifica expresiones emocionales complejas en fotografías
habi273;compe20;952;Identifica expresiones emocionales complejas en dibujos 
habi274;compe20;954;Identifica emociones basadas en situaciones 
habi275;compe20;956;Identifica emociones basadas en el deseo
habi276;compe20;958;Identifica emociones basadas en las creencias 
habi277;compe20;960;Interpreta intenciones a partir de gestos, expresiones faciales o el contexto 
habi278;compe20;962;Interpreta verbos del tipo pensar, fingir, etc.
habi279;compe20;964;Interpreta las razones por sus consecuencias 
habi280;compe20;966;Interpreta el problema a partir de símbolos 
habi281;compe20;968;Interpreta el problema a partir del contexto
habi282;compe20;970;Identifica palabras o gestos de un interlocutor que indican la necesidad de modificar el propio comportamiento
habi283;compe21;990;Identifica y evita situaciones de riesgo de acoso escolar 
habi284;compe21;991;Contribuye a la prevención del acoso escolar 
habi285;compe21;992;Muestra una actitud de aceptación, respeto y valoración de las diferencias individuales (edad, sexo, características físicas, personalidad, etc.)
habi286;compe21;994;Apoya a las víctimas y facilita la convivencia 
habi287;compe21;996;Desarrolla alternativas a la violencia  
habi288;compe21;997;Utiliza las redes de forma segura
habi289;compe21;998;Evita la adicción a las nuevas tecnologías
habi290;compe22;1016;Come alimentos tomándolos con los dedos
habi291;compe22;1018;Utiliza la cuchara con alimentos sólidos y líquidos 
habi292;compe22;1020;Bebe con vaso o taza
habi293;compe22;1022;No se mueve del asiento durante la comida 
habi294;compe22;1024;Pela fruta 
habi295;compe22;1026;Desenvuelve el alimento
habi296;compe22;1028;Mastica alimentos con la boca cerrada
habi297;compe22;1030;Elige el cubierto correspondiente según el tipo de comida 
habi298;compe22;1032;Dobla la servilleta
habi299;compe22;1034;Toma el vaso con una sola mano
habi300;compe22;1036;Se seca la boca con la servilleta o el babero 
habi301;compe22;1038;Traga los alimentos antes de beber
habi302;compe22;1040;Corta los alimentos blandos con el tenedor
habi303;compe22;1042;Sabe añadir azúcar a los alimentos cuando lo desea 
habi304;compe22;1044;Vierte el agua o líquidos de una jarra o botella
habi305;compe22;1046;Se pone la servilleta
habi306;compe22;1048;Introduce en la boca la comida que puede masticar de una vez 
habi307;compe22;1050;Traga la comida que tiene en la boca antes de hablar
habi308;compe22;1052;Parte el pan en porciones pequeñas  
habi309;compe22;1054;Sabe utilizar el cuchillo 
habi310;compe22;1056;Corta en rebanadas el pan
habi311;compe22;1058;Deja los restos de su comida dentro del plato 
habi312;compe22;1060;Comienza a comer cuando todo el mundo ha sido servido 
habi313;compe22;1062;Mantiene la mesa limpia
habi314;compe22;1064;Deja la silla en su lugar 
habi315;compe22;1066;Corta los alimentos que lo requieren con cuchillo y tenedor 
habi316;compe22;1068;Condimenta las comidas
habi317;compe22;1070;Utiliza el rompenueces 
habi318;compe23;1090;Enciende y apaga interruptores  
habi319;compe23;1092;Tira la basura en los contenedores previstos 
habi320;compe23;1094;Colabora a la hora de poner y quitar la mesa
habi321;compe23;1096;Lleva la ropa sucia al lugar asignado  
habi322;compe23;1098;Pone y quita las bolsas de la basura  
habi323;compe23;1100;Avisa cuando hay prendas de ropa para coser
habi324;compe23;1102;Termina un trabajo en el tiempo preestablecido 
habi325;compe23;1104;Utiliza correctamente los botones de control de electrodomésticos  
habi326;compe23;1106;Limpia los zapatos
habi327;compe23;1108;Pone y/o quita la mesa 
habi328;compe23;1110;Lava los platos 
habi329;compe23;1112;Tiende la ropa
habi330;compe23;1114;Prepara verduras para la comida  
habi331;compe23;1116;Prepara una comida sencilla 
habi332;compe23;1118;Cose un botón
habi333;compe23;1120;Limpia los líquidos derramados y recoge las cosas rotas 
habi334;compe23;1122;Clasifica los alimentos según la conservación que precisen  
habi335;compe23;1124;Barre o pasa la aspiradora
habi336;compe23;1126;Hace la cama 
habi337;compe23;1128;Usa adecuadamente la mochila o bolso, seleccionando el material del día 
habi338;compe23;1130;Sigue un programa de limpieza general de la casa
habi339;compe23;1132;Limpia y ordena su habitación  
habi340;compe23;1134;Clava un clavo 
habi341;compe23;1136;Cambia las pilas de un aparato eléctrico
habi342;compe23;1138;Cambia la bombona de gas 
habi343;compe23;1140;Cambia una bombilla eléctrica que no funciona 
habi344;compe23;1142;Arregla un enchufe
habi345;compe23;1144;Cambia un fusible 
habi346;compe23;1146;Utiliza el timbre y lo atiende cuando suena 
habi347;compe23;1150;Observa las normas de seguridad en el uso de aparatos domésticos
habi348;compe24;1168;Descuelga y cuelga la ropa en perchas 
habi349;compe24;1170;Guarda el material después de utilizarlo y lo mantiene en buen estado 
habi350;compe24;1172;Pide el material de equipamiento que necesita
habi351;compe24;1174;Se responsabiliza de los objetos que le confían 
habi352;compe24;1176;Cierra la puerta con cuidado al entrar o salir del aula 
habi353;compe24;1178;Se desplaza por la escuela con orden, respetando el trabajo de las otras clases
habi354;compe24;1180;Conoce las dependencias de la escuela y las utiliza de forma adecuada 
habi355;compe24;1182;Juega en los lugares correspondientes, sin molestar los juegos de los demás
habi356;compe24;1184;Procura no malgastar el material (papel, lápices, pintura, cola, etc.)
habi357;compe24;1186;Se relaciona con los compañeros en las salidas
habi358;compe25;1206;Identifica su casa o su escuela  
habi359;compe25;1208;Se prepara para bajar de los transportes públicos 
habi360;compe25;1210;Observa las normas de seguridad en los transportes públicos
habi361;compe25;1212;Evita distraer al conductor en los transportes públicos 
habi362;compe25;1214;Identifica situaciones de peligro en los transportes públicos 
habi363;compe25;1216;Evita los obstáculos del camino
habi364;compe25;1218;Identifica el lugar de parada de los transportes públicos 
habi365;compe25;1220;Va a casa de los vecinos 
habi366;compe25;1222;Obedece las indicaciones de los agentes de tráfico
habi367;compe25;1224;Sigue las normas de circulación y conoce las consecuencias derivadas de su incumplimiento 
habi368;compe25;1226;Observa todas las señales de tráfico  
habi369;compe25;1228;Utiliza el autobús con los transbordos necesarios
habi370;compe25;1230;Utiliza el taxi correctamente 
habi371;compe25;1232;Utiliza el barco correctamente  
habi372;compe25;1234;Actúa con civismo en las aglomeraciones de los transportes públicos
habi373;compe25;1236;Respeta los equipamientos públicos 
habi374;compe26;1256;Utiliza las máquinas de venta automática 
habi375;compe26;1258;Acude a establecimientos de hostelería 
habi376;compe26;1260;Acude al servicio comunitario apropiado cuando necesita ayuda
habi377;compe26;1262;Lee periódicos y revistas para obtener información 
habi378;compe26;1264;Consulta los horarios de servicios de la ciudad 
habi379;compe26;1266;Utiliza una guía o el plano de la ciudad
habi380;compe26;1268;Utiliza la programación de TV 
habi381;compe27;1288;Compra y usa correctamente el dinero 
habi382;compe27;1290;Diferencia entre distintos tipos de gasto y adapta su presupuesto a cada uno de ellos 
habi383;compe27;1292;Investiga sobre distintas estrategias de compra, compara precios y recopila información
habi384;compe27;1294;Valora con espíritu crítico la función de la publicidad y analiza ejemplos concretos 
habi385;compe27;1296;Conoce las funciones de los bancos  
habi386;compe27;1298;Colabora en las compras del hogar (alimentación, productos de limpieza, ropa...)
habi387;compe28;1314;Interrumpe una acción en caso de peligro 
habi388;compe28;1316;Se mantiene a distancia de objetos que irradian calor 
habi389;compe28;1318;Evita el contacto con materiales por los que pasa corriente eléctrica
habi390;compe28;1320;Tiene cuidado con los desniveles y escaleras peligrosas 
habi391;compe28;1322;Evita pillarse los dedos con cajones y puertas 
habi392;compe28;1324;Manipula objetos de corte con precaución
habi393;compe28;1326;Pide ayuda en caso de peligro  
habi394;compe28;1328;Sube o baja por los lugares adecuados 
habi395;compe28;1330;Rodea los lugares con vallas o andamios
habi396;compe28;1332;Identifica objetos peligrosos 
habi397;compe28;1334;Evita juegos o manipulaciones con envases potencialmente peligrosos 
habi398;compe28;1336;Manipula objetos calientes con precaución
habi399;compe28;1338;Se mantiene a distancia de aparatos mecánicos peligrosos 
habi400;compe28;1340;Se baña en lugares habilitados para hacerlo 
habi401;compe28;1342;Enciende fósforos con las precauciones necesarias
habi402;compe28;1344;Mantiene la distancia ante animales extraños 
habi403;compe28;1346;Evita el uso de objetos peligrosos en los juegos 
habi404;compe28;1348;Identifica las señales de peligro
habi405;compe28;1350;Evita la proximidad de objetos con la señal de inflamable 
habi406;compe28;1352;Cierra la canilla (grifo) en caso de pérdida de agua 
habi407;compe28;1354;Avisa en caso de olor a gas
habi408;compe28;1356;Actúa en consecuencia ante señales acústicas de peligro 
habi409;compe28;1358;Observa normas de seguridad en el uso de escaleras mecánicas 
habi410;compe28;1360;Sigue las indicaciones ante un peligro eventual en la playa
habi411;compe28;1362;Sigue las normas en situación de emergencia 
habi412;compe28;1364;Es prudente al entablar relación con personas desconocidas
habi413;compe29;1384;Está atento a las explicaciones, a las instrucciones y a las tareas que le dan 
habi414;compe29;1386;Trabaja en el lugar asignado y utiliza cada material para su función específica 
habi415;compe29;1388;Trabaja sin molestar a los compañeros
habi416;compe29;1390;Planifica su tiempo y lo reparte entre trabajo, cuidado personal y ocio 
habi417;compe29;1392;Lee el texto a una distancia apropiada
habi418;compe29;1394;Termina las tareas empezadas y las presenta limpias y ordenadas
habi419;compe29;1396;Coloca en su lugar los materiales utilizados 
habi420;compe29;1398;Limpia los utensilios después de un trabajo 
habi421;compe29;1400;Recoge y tira a la papelera los restos de material
habi422;compe29;1402;Empieza a regular su ritmo de trabajo (tiempo dedicado = tiempo previsto)
habi423;compe29;1404;Mantiene una postura adecuada durante el trabajo o actividad  
habi424;compe29;1406;Realiza las actividades previstas para casa
habi425;compe30;1426;Participa en juegos sensoriomotores
habi426;compe30;1428;Participa en juegos que implican manipulación
habi427;compe30;1430;Participa en juegos simbólicos: sustitución de objetos, atribución de propiedades, imitación, etc.
habi428;compe30;1432;Participa en juegos de mesa siguiendo las normas 
habi429;compe30;1434;Participa en juegos de acción propios de la edad 
habi430;compe30;1436;Participa en juegos de comunicación
habi431;compe30;1438;Participa en juegos con reglas siguiendo las normas 
habi432;compe30;1440;Organiza juegos de mesa con los compañeros 
habi433;compe30;1442;Juega con videojuegos
habi434;compe30;1444;Participa en deportes de balón o pelota 
habi435;compe30;1446;Participa en deportes atléticos y gimnásticos 
habi436;compe30;1448;Participa en deportes de combate
habi437;compe30;1450;Participa en deportes mecánicos  
habi438;compe30;1452;Juega al ajedrez 
habi439;compe30;1454;Participa en deportes en la naturaleza
habi440;compe30;1456;Juega en los lugares correspondientes, sin molestar los juegos de los demás
habi441;compe30;1458;Utiliza algún dispositivo médico de medición
habi442;compe31;1466;Se entretiene con objetos previamente elegidos 
habi443;compe31;1468;Se dedica a sus aficiones
habi444;compe31;1470;Elige música para escucharla
habi445;compe31;1472;Participa en actividades al aire libre: excursiones, acampadas, etc.
habi446;compe31;1474;Participa o asiste a actividades de la comunidad: exposiciones, teatro, cine, museos, fiestas, conciertos, etc.  
habi447;compe31;1476;Participa en actividades para mejorar su aptitud física
habi448;compe31;1478;Desarrolla intereses personales: coleccionismo, pintura, lectura, música, televisión, etc. 
habi449;compe31;1480;Prepara las fiestas del año
habi450;compe31;1482;Cuida sus animales y/o plantas
habi451;compe32;2004;"Dice sonidos; inicia balbuceo; sonidos guturales "
habi452;compe32;2006;Vocaliza vocal-consonante (aaa- mmm)
habi453;compe32;2008;Vocaliza consonantes y vocales 2010 Dice largas series de segmentos silábicos
habi454;compe32;2012;Forma diversas sílabas
habi455;compe32;2014;Reproduce con balbuceo la melodía de la conversación adulta
habi456;compe32;2016;Cambia la entonación o volumen para comunicar la intensidad de sus deseos
habi457;compe32;2018;Dice 2 palabras. Dice 5-8 palabras. Dice 10-20 palabras
habi458;compe32;2020;Dice onomatopeyas
habi459;compe32;2022;Repite o imita palabras aisladas 2024 Estructura silábica V-CV (a-ba), CV1- CV1 (papá), CV1-CV2 (pupa), C1V1-C2V2 (paso), CVC (pan)
